Model,Subject,Accuracy,F1,AUC
SVM (RBF),S11,1.0,1.0,1.0
SVM (RBF),S16,1.0,1.0,1.0
SVM (RBF),S14,1.0,1.0,1.0
SVM (RBF),S17,0.95,0.9361702127659575,0.9964114832535885
SVM (RBF),S8,0.9482758620689655,0.926829268292683,0.9897039897039897
SVM (RBF),S5,0.9482758620689655,0.918918918918919,0.9894736842105263
SVM (RBF),S6,0.8421052631578947,0.6896551724137931,0.9847645429362881
SVM (RBF),S13,0.8448275862068966,0.8085106382978723,0.9763157894736842
SVM (RBF),S4,0.8392857142857143,0.6896551724137931,0.957325746799431
SVM (RBF),S3,0.8421052631578947,0.7428571428571429,0.9162162162162162
SVM (RBF),S10,0.5333333333333333,0.6111111111111112,0.9090909090909091
SVM (RBF),S7,0.8245614035087719,0.7058823529411765,0.9002770083102494
SVM (RBF),S15,0.8305084745762712,0.7619047619047619,0.8809523809523809
SVM (RBF),S9,0.8245614035087719,0.7222222222222222,0.8282548476454293
SVM (RBF),S2,0.7454545454545455,0.4166666666666667,0.527027027027027
